deal_id,cik,company_name,sic,first_filed,last_filed,filings,n_filings,outcome
213,0001076371,HENSCHEL INC,3663,1999-01-07,1999-01-20,"S-4,S-4/A",2,likely_not_completed
214,0001076371,HENSCHEL INC,3663,2002-09-18,2005-11-23,"S-4,S-4,S-4,S-4,S-4",5,likely_not_completed
215,0001081824,CARRIER1 INTERNATIONAL S A,4899,1999-03-29,1999-08-05,"S-4,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A",8,likely_not_completed
216,0001082699,CC V HOLDINGS FINANCE INC,3663,1999-04-01,1999-07-22,"S-4,S-4/A,S-4/A,S-4/A",4,likely_not_completed
217,0001083802,BR HOLDING INC,3577,1999-08-09,1999-08-09,S-4,1,likely_not_completed
218,0001084587,360NETWORKS INC,4899,2001-02-23,2001-02-23,425,1,likely_not_completed
219,0001085621,Actua Corp,7371,2009-10-13,2009-10-13,S-4,1,likely_not_completed
220,0001086745,"Fabric.AI, Inc.",4899,2017-09-06,2018-01-17,"425,425,425,S-4,425,425,425,S-4/A,425,S-4/A,425,S-4/A,425,425,425,425,425",17,likely_not_completed
221,0001086745,"Fabric.AI, Inc.",4899,2020-02-14,2020-05-26,"S-4,S-4/A,425,425,425",5,likely_not_completed
222,0001087022,ALR TECHNOLOGIES INC.,3669,2022-10-03,2022-10-03,"425,425",2,likely_completed
223,0001088242,ELASTIC NETWORKS INC,3661,2001-12-28,2002-03-05,"425,425,425,425,425,425,425,425,425,425,425,425",12,likely_completed
224,0001088454,NETSCREEN TECHNOLOGIES INC,3576,2004-02-09,2004-04-16,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",15,likely_completed
225,0001088653,AGILE SOFTWARE CORP,7372,2001-01-29,2001-03-07,"425,425,425,425,425,425,425,425,425,425,425",11,likely_not_completed
226,0001090071,FOUNDRY NETWORKS LLC,3576,2008-07-21,2008-10-16,"425,425,425,425,425,425,425,425,425,425,425,425,425,425",14,likely_completed
227,0001090071,FOUNDRY NETWORKS LLC,3576,2010-06-18,2010-08-10,"S-4,S-4/A",2,likely_not_completed
228,0001090709,ANTEON CORP,7370,1999-08-09,1999-08-27,"S-4,S-4/A",2,likely_not_completed
229,0001096241,FORCE10 NETWORKS INC,3576,2007-12-26,2007-12-26,425,1,likely_not_completed
230,0001097578,CHIPPAC LUXEMBOURG SARL,3674,1999-11-24,2000-04-27,"S-4,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A",6,likely_not_completed
231,0001097579,CHIPPAC LIQUIDITY MANAGEMENT LIMITED LIABILITY CO,3674,1999-11-24,2000-04-27,"S-4,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A",6,likely_not_completed
232,0001097583,CHIPPAC INTERNATIONAL CO LTD,3674,1999-11-24,2000-04-27,"S-4,S-4/A,S-4/A,S-4/A,S-4/A,S-4/A",6,likely_not_completed
233,0001097641,724 SOLUTIONS INC,7372,2000-11-29,2000-12-27,"425,425,425,425,425",5,likely_not_completed
234,0001097722,ALAMOSA DELAWARE INC,3663,2000-07-31,2001-09-13,"425,425,425,S-4,S-4/A,S-4,S-4/A",7,likely_not_completed
235,0001097722,ALAMOSA DELAWARE INC,3663,2004-04-19,2004-07-14,"S-4,S-4/A",2,likely_not_completed
236,0001102056,C CUBE MICROSYSTEMS INC/DE,3674,2001-03-26,2001-06-11,"425,425,425,425,425,425,425,425,425,425",10,likely_completed
237,0001102384,ASAT HOLDINGS LTD,3674,2000-10-03,2000-10-12,"S-4/A,S-4/A",2,likely_not_completed
238,0001102390,ASAT FINANCE LLC,3674,2000-08-15,2000-10-12,"S-4/A,S-4/A,S-4/A",3,likely_not_completed
239,0001102394,ASAT LTD,3674,2000-10-03,2000-10-12,"S-4/A,S-4/A",2,likely_not_completed
240,0001102399,ASAT INC,3674,2000-10-03,2000-10-12,"S-4/A,S-4/A",2,likely_not_completed
